iter	Passed	Remaining
410	3526	5054
411	3533	5043
412	3539	5030
413	3544	5017
414	3551	5006
415	3557	4993
416	3563	4981
417	3569	4969
418	3575	4957
419	3582	4946
420	3587	4934
421	3593	4921
422	3599	4910
423	3605	4898
424	3612	4886
425	3617	4874
426	3623	4862
427	3630	4851
428	3635	4838
429	3641	4826
430	3647	4815
431	3653	4803
432	3659	4791
433	3664	4779
434	3670	4767
435	3679	4760
436	3685	4747
437	3691	4736
438	3697	4725
439	3703	4713
440	3709	4701
441	3714	4689
442	3720	4677
443	3728	4668
444	3734	4657
445	3740	4646
446	3745	4634
447	3751	4622
448	3757	4611
449	3763	4599
450	3768	4587
451	3774	4576
452	3780	4565
453	3788	4555
454	3794	4544
455	3799	4533
456	3806	4522
457	3811	4510
458	3817	4498
459	3823	4488
460	3829	4477
461	3834	4465
462	3841	4455
463	3847	4443
464	3852	4432
465	3858	4421
466	3864	4410
467	3870	4399
468	3876	4388
469	3881	4377
470	3887	4366
471	3893	4355
472	3898	4343
473	3905	4334
474	3911	4323
475	3916	4311
476	3923	4301
477	3928	4290
478	3935	4280
479	3940	4269
480	3946	4258
481	3952	4247
482	3958	4237
483	3963	4225
484	3970	4216
485	3976	4205
486	3982	4195
487	3988	4184
488	3993	4173
489	3999	4162
490	4004	4151
491	4010	4140
492	4016	4130
493	4022	4120
494	4027	4109
495	4034	4099
496	4040	4089
497	4045	4078
498	4069	4086
499	4082	4082
500	4091	4074
501	4098	4065
502	4103	4054
503	4110	4044
504	4115	4034
505	4121	4024
506	4127	4013
507	4133	4003
508	4140	3994
509	4146	3983
510	4151	3973
511	4158	3963
512	4164	3953
513	4170	3943
514	4176	3933
515	4181	3922
516	4187	3911
517	4192	3901
518	4198	3891
519	4205	3881
520	4210	3871
521	4216	3861
522	4223	3852
523	4229	3841
524	4235	3832
525	4241	3822
526	4247	3811
527	4254	3802
528	4259	3792
529	4265	3782
530	4271	3772
531	4294	3777
532	4300	3767
533	4305	3757
534	4311	3747
535	4317	3737
536	4323	3727
537	4329	3717
538	4336	3709
539	4342	3699
540	4348	3689
541	4354	3679
542	4359	3669
543	4365	3659
544	4371	3649
545	4376	3639
546	4383	3630
547	4389	3620
548	4394	3610
549	4401	3600
550	4406	3591
551	4412	3581
552	4418	3571
553	4424	3561
554	4429	3551
555	4435	3542
556	4442	3532
557	4448	3524
558	4454	3514
559	4461	3505
560	4467	3496
561	4473	3486
562	4480	3477
563	4487	3468
564	4494	3460
565	4500	3451
566	4507	3442
567	4518	3436
568	4528	3430
569	4537	3422
570	4548	3417
571	4554	3408
572	4562	3399
573	4567	3390
574	4576	3382
575	4581	3372
576	4587	3363
577	4595	3354
578	4600	3345
579	4608	3337
580	4614	3327
581	4620	3318
582	4627	3309
583	4633	3300
584	4640	3292
585	4646	3282
586	4651	3273
587	4659	3264
588	4664	3255
589	4670	3245
590	4679	3238
591	4685	3229
592	4693	3221
593	4699	3211
594	4707	3203
595	4713	3194
596	4718	3185
597	4725	3176
598	4731	3167
599	4738	3159
600	4744	3149
601	4749	3140
602	4756	3131
603	4762	3122
604	4769	3114
605	4777	3106
606	4783	3097
607	4790	3088
608	4796	3079
609	4802	3070
610	4808	3061
611	4813	3051
612	4823	3045
613	4829	3036
614	4837	3028
615	4843	3019
616	4848	3009
617	4858	3002
618	4863	2993
619	4872	2986
620	4878	2977
621	4884	2968
622	4890	2959
623	4895	2950
624	4904	2942
625	4909	2933
626	4917	2925
627	4923	2916
628	4928	2907
629	4936	2899
630	4942	2890
631	4949	2881
632	4955	2872
633	4960	2863
634	4968	2855
635	4973	2846
636	4981	2838
637	4987	2829
638	4992	2820
639	4999	2812
640	5005	2803
641	5011	2794
642	5018	2786
643	5024	2777
644	5031	2769
645	5037	2760
646	5045	2752
647	5051	2743
648	5056	2734
649	5064	2726
650	5070	2718
651	5077	2709
652	5085	2702
653	5092	2694
654	5099	2685
655	5104	2676
656	5112	2669
657	5118	2660
658	5125	2652
659	5132	2643
660	5137	2634
661	5149	2629
662	5155	2620
663	5163	2612
664	5168	2603
665	5180	2598
666	5189	2590
667	5195	2582
668	5206	2576
669	5213	2567
670	5222	2560
671	5227	2551
672	5234	2543
673	5243	2536
674	5251	2528
675	5259	2520
676	5267	2513
677	5273	2504
678	5279	2495
679	5290	2489
680	5295	2480
681	5303	2472
682	5309	2464
683	5316	2456
684	5323	2447
685	5330	2439
686	5337	2431
687	5343	2423
688	5351	2415
689	5357	2407
690	5365	2399
691	5371	2390
692	5377	2382
693	5385	2374
694	5391	2366
695	5402	2359
696	5408	2351
697	5416	2343
698	5422	2334
699	5430	2327
700	5435	2318
701	5441	2309
702	5449	2302
703	5455	2293
704	5462	2285
705	5470	2277
706	5477	2269
707	5483	2261
708	5489	2252
709	5497	2245
710	5503	2236
711	5510	2228
712	5516	2220
713	5521	2211
714	5529	2204
715	5536	2196
716	5547	2189
717	5554	2181
718	5564	2174
719	5574	2167
720	5594	2164
721	5601	2156
722	5613	2150
723	5623	2143
724	5630	2135
725	5640	2128
726	5648	2120
727	5657	2113
728	5665	2106
729	5676	2099
730	5684	2091
731	5693	2084
732	5701	2076
733	5710	2069
734	5718	2061
735	5726	2053
736	5734	2046
737	5752	2042
738	5760	2034
739	5768	2026
740	5775	2018
741	5786	2011
742	5793	2004
743	5801	1996
744	5809	1988
745	5817	1980
746	5825	1972
747	5834	1965
748	5842	1957
749	5851	1950
750	5858	1942
751	5867	1935
752	5876	1927
753	5885	1920
754	5893	1912
755	5903	1905
756	5910	1897
757	5919	1889
758	5926	1881
759	5935	1874
760	5943	1866
761	5951	1858
762	5959	1851
763	5967	1843
764	5975	1835
765	5984	1828
766	5993	1820
767	6000	1812
768	6010	1805
769	6017	1797
770	6025	1789
771	6033	1781
772	6040	1773
773	6048	1766
774	6056	1758
775	6064	1750
776	6072	1742
777	6080	1735
778	6088	1727
779	6097	1719
780	6104	1711
781	6113	1704
782	6120	1696
783	6129	1688
784	6137	1680
785	6147	1673
786	6155	1665
